country,countryCode,category,score,scoreLabel,confidence,summary,lastReviewed,sourceIds,version
"Australia","AU","housing","3","Mixed conditions","Moderate confidence","Rental access has a structured pathway in some states, but no single national permission rule applies.","2026-07-12","au-vic-renting|oecd-housing","1.0"
"Australia","AU","public-spaces","3","Mixed conditions","Limited confidence","Everyday outdoor access is often workable, subject to council controls and protected-area restrictions.","2026-07-12","world-bank-indicators","1.0"
"Australia","AU","transport","2","Notable constraints","Limited confidence","Ordinary-dog access to public transport is fragmented and frequently restricted.","2026-07-12","world-bank-indicators","1.0"
"Australia","AU","veterinary","4","Generally supportive","Moderate confidence","Professional regulation and urban service infrastructure are generally supportive.","2026-07-12","au-vet-board|woah-pvs","1.0"
"Australia","AU","climate","2","Notable constraints","High confidence","Heat and severe-weather planning can impose a substantial seasonal burden.","2026-07-12","world-bank-climate","1.0"
"Australia","AU","cost","2","Notable constraints","Limited confidence","Housing, veterinary travel and routine services can create notable pressure.","2026-07-12","oecd-housing|world-bank-indicators","1.0"
"Australia","AU","travel","1","Substantial barriers","High confidence","The official inbound process is clear but highly sequenced and demanding.","2026-07-12","au-biosecurity","1.0"
"Australia","AU","everyday","3","Mixed conditions","Moderate confidence","Daily ownership is workable for many households but depends heavily on location and mobility.","2026-07-12","world-bank-indicators|au-vet-board","1.0"
"Italy","IT","housing","3","Mixed conditions","Limited confidence","National legal context and everyday practice still leave meaningful rental uncertainty.","2026-07-12","oecd-housing","1.0"
"Italy","IT","public-spaces","3","Mixed conditions","Limited confidence","Parks and walking environments can be supportive, with municipal and seasonal constraints.","2026-07-12","world-bank-indicators","1.0"
"Italy","IT","transport","4","Generally supportive","High confidence","National rail publishes practical pathways for travelling with dogs.","2026-07-12","trenitalia-pets","1.0"
"Italy","IT","veterinary","4","Generally supportive","Moderate confidence","Regulated services are generally accessible in populated regions.","2026-07-12","woah-pvs","1.0"
"Italy","IT","climate","3","Mixed conditions","High confidence","Climate is manageable in many seasons but summer heat can materially change routines.","2026-07-12","world-bank-climate","1.0"
"Italy","IT","cost","3","Mixed conditions","Limited confidence","Costs are mixed once housing pressure and household purchasing power are considered.","2026-07-12","oecd-housing|world-bank-indicators","1.0"
"Italy","IT","travel","4","Generally supportive","High confidence","EU rules create a comparatively legible system, although routes remain specific.","2026-07-12","eu-pets|it-health","1.0"
"Italy","IT","everyday","4","Generally supportive","Moderate confidence","Rail options, walkable communities and service networks can support routine ownership.","2026-07-12","trenitalia-pets|it-health","1.0"
"South Africa","ZA","housing","2","Notable constraints","Limited confidence","Pet-permitting rental evidence is fragmented and permission can depend on multiple private rules.","2026-07-12","world-bank-indicators","1.0"
"South Africa","ZA","public-spaces","3","Mixed conditions","Moderate confidence","Useful public spaces exist, but access and control rules are municipal.","2026-07-12","cape-town-dogs","1.0"
"South Africa","ZA","transport","1","Substantial barriers","Limited confidence","Ordinary-dog access through mass public transport is generally difficult to plan.","2026-07-12","world-bank-indicators","1.0"
"South Africa","ZA","veterinary","3","Mixed conditions","Moderate confidence","Professional regulation is established, while geographic and financial access are uneven.","2026-07-12","za-vet-council|woah-pvs","1.0"
"South Africa","ZA","climate","2","Notable constraints","High confidence","Heat and region-specific hazards require active planning.","2026-07-12","world-bank-climate","1.0"
"South Africa","ZA","cost","2","Notable constraints","Limited confidence","Household purchasing power and uneven access can make routine and unexpected costs difficult.","2026-07-12","world-bank-indicators","1.0"
"South Africa","ZA","travel","2","Notable constraints","High confidence","Official import entry points exist, but the process requires direct permit and certificate work.","2026-07-12","za-import","1.0"
"South Africa","ZA","everyday","3","Mixed conditions","Limited confidence","Ownership can be workable with local knowledge and reliable private arrangements.","2026-07-12","cape-town-dogs|za-vet-council","1.0"
"United Kingdom","GB","housing","3","Mixed conditions","Moderate confidence","Pet-request policy is developing, but cost and jurisdiction differences constrain access.","2026-07-12","uk-renting-pets|oecd-housing","1.0"
"United Kingdom","GB","public-spaces","3","Mixed conditions","Limited confidence","Walking access is extensive, subject to local control orders and land-manager rules.","2026-07-12","world-bank-indicators","1.0"
"United Kingdom","GB","transport","4","Generally supportive","High confidence","Great Britain’s national rail framework is broadly practical for dogs.","2026-07-12","uk-national-rail","1.0"
"United Kingdom","GB","veterinary","4","Generally supportive","High confidence","Statutory regulation and broad service networks are supportive.","2026-07-12","uk-rcvs|woah-pvs","1.0"
"United Kingdom","GB","climate","4","Generally supportive","Moderate confidence","Temperate conditions reduce some extremes but weather management still matters.","2026-07-12","world-bank-climate","1.0"
"United Kingdom","GB","cost","2","Notable constraints","Moderate confidence","Housing and veterinary expenses can create notable ownership pressure.","2026-07-12","oecd-housing|world-bank-indicators","1.0"
"United Kingdom","GB","travel","3","Mixed conditions","High confidence","Official systems are clear, but jurisdiction and route distinctions add work.","2026-07-12","uk-gb-entry|uk-ni-entry","1.0"
"United Kingdom","GB","everyday","4","Generally supportive","Moderate confidence","Walking, rail and service networks can support routine ownership.","2026-07-12","uk-national-rail|uk-rcvs","1.0"
"United States","US","housing","2","Notable constraints","Limited confidence","Pet-permitting rentals exist, but cost and layered restrictions produce notable constraints.","2026-07-12","oecd-housing|world-bank-indicators","1.0"
"United States","US","public-spaces","3","Mixed conditions","Limited confidence","Many dedicated spaces exist, alongside extensive local restrictions.","2026-07-12","world-bank-indicators","1.0"
"United States","US","transport","2","Notable constraints","Limited confidence","Ordinary-dog public transport is inconsistent and often size- or carrier-limited.","2026-07-12","world-bank-indicators","1.0"
"United States","US","veterinary","4","Generally supportive","Moderate confidence","A large regulated professional ecosystem supports care, but affordability and geography constrain access.","2026-07-12","us-avma|woah-pvs","1.0"
"United States","US","climate","2","Notable constraints","High confidence","Multiple climate extremes create a significant location-specific management burden.","2026-07-12","world-bank-climate","1.0"
"United States","US","cost","2","Notable constraints","Moderate confidence","Veterinary, housing and routine ownership costs can exert notable pressure.","2026-07-12","us-avma|oecd-housing|world-bank-indicators","1.0"
"United States","US","travel","3","Mixed conditions","High confidence","Federal guidance is detailed, while layered authorities add complexity.","2026-07-12","us-cdc|us-usda","1.0"
"United States","US","everyday","3","Mixed conditions","Moderate confidence","Services are abundant in many markets, but mobility, housing and costs produce mixed conditions.","2026-07-12","us-avma|world-bank-indicators","1.0"
